date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:08:39	24/24	---M--	200	added ('OK')	text/plain	date:Mon,%2022%20Jun%202020%2004:30:10%20GMT	https://portify.xyz/robots.txt		(from )
23:08:42	56736/56736	---MC-	200	added ('OK')	text/html	date:Wed,%2024%20Jun%202020%2017:08:40%20GMT	https://portify.xyz/	E:/EEE/Web%20design/Portfoli/Portfolio/portify.xyz/index.html	(from )
23:08:44	159515/159515	---M-Z	200	added ('OK')	text/css	etag:%221574963566%22	https://stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	E:/EEE/Web%20design/Portfoli/Portfolio/stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	(from https://portify.xyz/)
23:08:45	57333/57333	---MCZ	200	added ('OK')	text/css	etag:W/%225e3ad1aa-dff5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.12.1/css/all.min.css	E:/EEE/Web%20design/Portfoli/Portfolio/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.12.1/css/all.min.css	(from https://portify.xyz/)
23:08:45	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4820-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	E:/EEE/Web%20design/Portfoli/Portfolio/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://portify.xyz/)
23:08:46	1013/1013	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4820-3f5%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	E:/EEE/Web%20design/Portfoli/Portfolio/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	(from https://portify.xyz/)
23:08:46	58129/58129	---MCZ	200	added ('OK')	text/css	etag:W/%225cf6f82d-e311%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.2/animate.min.css	E:/EEE/Web%20design/Portfoli/Portfolio/cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.2/animate.min.css	(from https://portify.xyz/)
23:08:47	96654/96654	---MCZ	200	added ('OK')	text/css	etag:W/%225eb1dea1-1798e%22	https://cdnjs.cloudflare.com/ajax/libs/shards-ui/3.0.0/css/shards.min.css	E:/EEE/Web%20design/Portfoli/Portfolio/cdnjs.cloudflare.com/ajax/libs/shards-ui/3.0.0/css/shards.min.css	(from https://portify.xyz/)
23:08:47	232634/232634	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Jun%202020%2004:31:16%20GMT	https://portify.xyz/public/storage/user/cover/default-user.jpg	E:/EEE/Web%20design/Portfoli/Portfolio/portify.xyz/public/storage/user/cover/default-user.jpg	(from https://portify.xyz/)
23:08:48	1911/1911	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Jun%202020%2015:37:56%20GMT	https://portify.xyz/public/css/custom.css	E:/EEE/Web%20design/Portfoli/Portfolio/portify.xyz/public/css/custom.css	(from https://portify.xyz/)
23:08:54	17254/17254	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Jun%202020%2004:31:16%20GMT	https://portify.xyz/public/storage/app/resume/resume.png	E:/EEE/Web%20design/Portfoli/Portfolio/portify.xyz/public/storage/app/resume/resume.png	(from https://portify.xyz/)
23:08:54	111355/111355	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Jun%202020%2004:31:16%20GMT	https://portify.xyz/public/storage/app/patterns/bg-7.png	E:/EEE/Web%20design/Portfoli/Portfolio/portify.xyz/public/storage/app/patterns/bg-7.png	(from https://portify.xyz/)
23:08:56	620/620	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2022%20Jun%202020%2004:30:44%20GMT	https://portify.xyz/public/fa/s/code.svg	E:/EEE/Web%20design/Portfoli/Portfolio/portify.xyz/public/fa/s/code.svg	(from https://portify.xyz/)
23:08:56	107316/107316	---M--	200	added ('OK')	image/x-icon	date:Mon,%2022%20Jun%202020%2004:31:14%20GMT	https://portify.xyz/public/favicons/favicon.ico	E:/EEE/Web%20design/Portfoli/Portfolio/portify.xyz/public/favicons/favicon.ico	(from https://portify.xyz/)
23:08:56	477/477	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2022%20Jun%202020%2004:30:46%20GMT	https://portify.xyz/public/fa/s/database.svg	E:/EEE/Web%20design/Portfoli/Portfolio/portify.xyz/public/fa/s/database.svg	(from https://portify.xyz/)
